block_size,method,rand,adjusted-rand,jaccard,left-wallace,right-wallace,adjusted-left-wallace,adjusted-right-wallace,fowlkes-mallows,adjusted-fowlkes-mallows,mutual-information,nid,classification,incongruence,normalized-incongruence,precision,recall,f1,matthews
0,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725005,0.57715326313275,0.8625,11,0.1375,0.875,0.8536585365853658,0.8641975308641976,0.7252266687565153
16,newman,0.5253164556962026,0.05124099279423538,0.3644067796610169,0.5512820512820513,0.5180722891566265,0.05470085470085469,0.04819277108433734,0.5344192682516725,0.051291380888229404,0.048794940695398484,0.9512050593046015,0.625,30,0.375,0.75,0.6,0.6666666666666665,0.2581988897471611
32,newman,0.7417721518987341,0.48346153846153844,0.5853658536585366,0.7384615384615385,0.7384615384615385,0.48346153846153844,0.48346153846153844,0.7384615384615385,0.48346153846153844,0.39015969528359956,0.6098403047164005,0.85,12,0.15,0.85,0.85,0.85,0.7
48,newman,0.7417721518987341,0.4834780936508445,0.5857868020304569,0.7397435897435898,0.7378516624040921,0.4847053531264057,0.48225703324808183,0.7387970204630486,0.4834788773605611,0.3919057399147331,0.6080942600852669,0.85,12,0.15,0.875,0.8333333333333334,0.8536585365853658,0.7008766440504623
64,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2,0.675,0.9,0.7714285714285714,0.6196773353931868
80,newman,0.6759493670886076,0.3525419387885773,0.5223880597014925,0.717948717948718,0.6572769953051644,0.38785573400958023,0.3231220657276996,0.6869433572839381,0.3532517655091709,0.3238355491297674,0.6761644508702326,0.8,16,0.2,0.95,0.7307692307692307,0.8260869565217392,0.6289709020331509
96,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2,0.675,0.9,0.7714285714285714,0.6196773353931868
112,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2,0.675,0.9,0.7714285714285714,0.6196773353931868
128,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15,0.9,0.8181818181818182,0.8571428571428572,0.7035264706814484
256,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15,0.9,0.8181818181818182,0.8571428571428572,0.7035264706814484
