block_size,method,rand,adjusted-rand,jaccard,left-wallace,right-wallace,adjusted-left-wallace,adjusted-right-wallace,fowlkes-mallows,adjusted-fowlkes-mallows,mutual-information,nid,classification,incongruence,normalized-incongruence
0,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
128,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
256,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
384,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
512,newman,0.7243670886075949,0.4487562587622672,0.5662350597609562,0.7288461538461538,0.7173501577287066,0.455970695970696,0.44176656151419563,0.723075309647273,0.44878448152861555,0.3696051969873502,0.6303948030126498,0.8375,13,0.1625
640,newman,0.7784810126582279,0.5569052273965578,0.6338912133891214,0.7769230769230769,0.7749360613810742,0.5583188741083478,0.5554987212276215,0.7759289331033059,0.5569061301304017,0.4587779298899691,0.5412220701100309,0.875,10,0.125
768,newman,0.7075949367088608,0.41539595079446434,0.5501460564751705,0.7243589743589743,0.6958128078817734,0.4329260149572649,0.3992302955665024,0.7099424285553578,0.4155650843060609,0.3545207332441122,0.6454792667558877,0.825,14,0.175
896,newman,0.7784810126582279,0.5569052273965578,0.6338912133891214,0.7769230769230769,0.7749360613810742,0.5583188741083478,0.5554987212276215,0.7759289331033059,0.5569061301304017,0.4587779298899691,0.5412220701100309,0.875,10,0.125
1024,newman,0.7784810126582279,0.5569052273965578,0.6338912133891214,0.7769230769230769,0.7749360613810742,0.5583188741083478,0.5554987212276215,0.7759289331033059,0.5569061301304017,0.4587779298899691,0.5412220701100309,0.875,10,0.125
2048,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
3072,newman,0.7417721518987341,0.48352775285219846,0.5870445344129555,0.7435897435897436,0.7360406091370558,0.4884744884744885,0.4786802030456853,0.7398055473027098,0.48354024468603124,0.3973126097494865,0.6026873902505134,0.85,12,0.15
4096,newman,0.7784810126582279,0.5569052273965578,0.6338912133891214,0.7769230769230769,0.7749360613810742,0.5583188741083478,0.5554987212276215,0.7759289331033059,0.5569061301304017,0.4587779298899691,0.5412220701100309,0.875,10,0.125
5120,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
6144,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
7168,newman,0.6759493670886076,0.35231385108086466,0.5174363807728558,0.7038461538461539,0.6614457831325301,0.3761025641025641,0.331355421686747,0.682316693651554,0.3526603007196324,0.3074101695961334,0.6925898304038667,0.8,16,0.2
8192,newman,0.7598101265822785,0.5195471190134694,0.6087628865979381,0.757051282051282,0.7565663036515055,0.5198762046792066,0.5192184497117233,0.7568087540033953,0.5195471717012928,0.42284673686725016,0.5771532631327498,0.8625,11,0.1375
