block_size,io_thrash,dhry2,heap------,disk,tac,insertion-,mksquashfs,bisection,simpson13,find,redblack,genload_io,adpcm_code,dirload_io,adpcm_deco,cp,double,seeker,float,vecsum----,primegen,selection-,autcor----,tiotest,make-many-files,Bonnie,ncdu,gauss-----,recarray,arithoh,fft-------,genload_wh,updatedb,sysbench,fdct------,max-------,badblocks,fractal---,ioping,fio,dsp_mul32_,md5sum,shred,du,unsquashfs,bubble_sor,sobel-----,combsort--,split,register,bzip2,iozone,short,dd,mmq,spew,randrw,ffsb,base64,dotprod---,dupedit,goraud----,dhry2reg,cpio,pop_cnt---,duff,long,summillion,od,mkisofs,rsync,freedup,cat,hanoi,fsck.fat,mandelbulber,fibonacci-,radixsort-,genisoimage,gzip
0,0.04069119286510591,0.03985507246376811,0.04349529780564263,0.9756531725523974,0.9794806909450985,0.04256198347107438,0.9984796532315455,0.04052489386337321,0.04112081513828239,0.9938983162651099,0.0475827940616673,0.04546583850931677,0.044452745610758314,0.042385057471264365,0.04590288315629742,0.9937872916282217,0.04570184983677911,0.0463871543264942,0.04527345164795364,0.046598322460391424,0.050183100501831,0.043888433141919606,0.046511627906976744,0.9749046081596713,0.046573267701628174,0.040498442367601244,1.0049546322827125,0.04596273291925466,0.043153526970954356,0.046468401486988845,0.04412260020208825,0.041685443893645785,0.9848756392883682,1.0033901752720615,0.04810753448885745,0.04714757190004715,0.9899846255216341,0.9611433305716652,0.04172736732570239,0.9981597956082945,0.043645699614890884,0.9845616079230993,0.9904383590536787,0.9958002975573927,0.9998366368982793,0.045182111572153065,0.04575450945886494,0.042352941176470586,0.9965403268155562,0.04598540145985401,1.0021730793813115,0.9957066004552038,0.04593510754648195,0.994762902304323,0.042444029850746266,0.9986594445752794,0.0474234503360717,1.005941707036373,0.9800924666847974,0.0465444287729196,0.03928170594837262,0.0463664734730272,0.03924646781789639,0.996212066026603,0.045787545787545784,0.9763813036385559,0.046086320409656184,0.04344874405974202,0.9993596194309762,0.9989876425855513,0.9943223747915148,0.993135838150289,0.98746416805716,0.04448398576512456,0.9963209029861408,0.9984059255894799,0.04653327128897161,0.04440981690689521,1.0025927859290673,0.9993594332868608
16,0.3177257525083612,0.24071557971014493,0.2358934169278997,0.3358598908986506,0.29970293761689953,0.23140495867768596,0.3553244484699489,0.24237746043998457,0.2368995633187773,0.3692755487392602,0.34430909783022456,0.27652173913043476,0.2439297721329847,0.27586206896551724,0.2515174506828528,0.3687027126776158,0.230322814653609,0.24055902468034493,0.23361101050344077,0.2646784715750233,0.32768208327682086,0.23297785069729288,0.2585499316005472,0.3155268564719695,0.2688375615297236,0.29569055036344755,0.33103510028653294,0.26925465838509316,0.23112033195020748,0.23605947955390336,0.2903334456045807,0.2710680486705723,0.34847226472002446,0.31908329660643453,0.32684824902723736,0.26874115983026875,0.37579617834394907,0.3676884838442419,0.2951092611862643,0.3964520044477265,0.26230209670517757,0.31925429653364407,0.31117516785601296,0.3386127799016931,0.4496297103027663,0.26509912402028585,0.26748790145182577,0.22588235294117648,0.33314799369845244,0.22956204379562045,0.43318420043461586,0.4012431891854611,0.23441487422530077,0.30143464736875514,0.28451492537313433,0.4016593902284379,0.26064227035100823,0.3755587078125418,0.3055208050040794,0.26657263751763044,0.27048260381593714,0.2670530539456086,0.2327876205427226,0.3518990661285858,0.26373626373626374,0.404425845804667,0.23591806876371615,0.2620502376103191,0.3569664257615955,0.3793631178707224,0.34372027351564866,0.35624671571203365,0.3080477474008471,0.2298932384341637,0.3154736390912988,0.5561223375681849,0.26663564448580734,0.24386443319049475,0.3661436515571815,0.3192659859075323
32,0.20642883686361949,0.16621376811594202,0.17829153605015674,0.21131208728107953,0.19391572230168336,0.17851239669421487,0.22363654007892864,0.18062524121960633,0.17467248908296942,0.2283513910189812,0.21602588503996956,0.19950310559006212,0.18714979454613373,0.1925287356321839,0.18778452200303491,0.22794796087839084,0.17700398984403337,0.17870948557835267,0.1778341180731619,0.20456663560111835,0.22107690221076903,0.17719442165709598,0.19607843137254902,0.1964338127384796,0.19613782658084059,0.1976895119418484,0.21370582617000955,0.1934782608695652,0.17302904564315352,0.17992565055762083,0.20714045133041428,0.19085173501577288,0.22393670498754206,0.21332677899447403,0.22709586133710646,0.20556341348420556,0.22793762354491545,0.24067937033968517,0.1967741935483871,0.2695984314124927,0.19597774925117672,0.2010874842217691,0.19924772383731149,0.21506996365279948,0.2954966238292311,0.1987090825265099,0.2023757149142103,0.17372549019607844,0.21165786303400982,0.17664233576642335,0.2844944394733478,0.25464687219808263,0.17754283631060883,0.189043356820923,0.1935634328358209,0.25385409684607163,0.19716206123973115,0.230013649867516,0.19967364699483275,0.20404325340855664,0.18771043771043772,0.19572001783325904,0.16169544740973313,0.21946706682789668,0.20146520146520147,0.25661394425136536,0.1799561082662765,0.19008825526137135,0.2181868081602781,0.23766634980988594,0.22001544177554824,0.2227404098791382,0.19834852179865656,0.17259786476868327,0.19959994284897842,0.3584483760093985,0.2047463936714751,0.18387222438644332,0.2322678895757926,0.20341761181657184
48,0.15719063545150502,0.12771739130434784,0.13087774294670845,0.16095320126327878,0.14913631862691165,0.128099173553719,0.17247848871061655,0.14125820146661522,0.13828238719068414,0.1830092844538993,0.17015607156452228,0.13639751552795032,0.13597310422114306,0.14272030651340997,0.13922610015174508,0.17818478194008736,0.1287631483496554,0.1239964317573595,0.12966316551973922,0.14538676607642126,0.17740404177404043,0.1279737489745693,0.14227086183310533,0.14147343704138537,0.1385838697463082,0.14304257528556594,0.16517430754536772,0.1422360248447205,0.12780082987551866,0.1315985130111524,0.14482990906028967,0.13857593510590355,0.1718756830003934,0.16700003390175272,0.16837637071100106,0.14332861857614332,0.18357127168899626,0.17448218724109363,0.15317377731529658,0.2210486109342772,0.14035087719298245,0.15608311486552093,0.1584701374485886,0.17425940224862993,0.22846329775648008,0.14061779621945597,0.13990321161460625,0.12745098039215685,0.15889784697124146,0.1291970802919708,0.22213984404959733,0.19601351817366716,0.12686839227123586,0.1502570938868787,0.14948694029850745,0.19238781906124888,0.14115011202389843,0.18411262478923,0.1481642643459342,0.14245416078984485,0.13790684624017957,0.1440035666518056,0.12267324512222472,0.1752502221768965,0.1401098901098901,0.2089509894318746,0.12728602779809803,0.1334012219959267,0.1715000152471564,0.18602186311787072,0.16979554577292058,0.17790987913820283,0.15205579086980706,0.12918149466192172,0.15973710530075724,0.28730024937438037,0.14285714285714285,0.1312816517335411,0.18932945637777884,0.15782433399902032
64,0.13247863247863248,0.10756340579710146,0.109717868338558,0.13247200689061153,0.12999229838266035,0.10909090909090909,0.14436824739600182,0.113469702817445,0.10953420669577875,0.151033163475651,0.13818043395508184,0.12521739130434784,0.10795666791184161,0.12619731800766285,0.11229135053110774,0.14984314449160363,0.112803772216177,0.12042818911685994,0.1119159724737414,0.12208760484622554,0.1391563813915638,0.10869565217391304,0.12129502963976288,0.11953331376577635,0.11737978038621734,0.13006230529595014,0.13681948424068768,0.11180124223602485,0.11078838174273858,0.11449814126394052,0.12462108454024924,0.11626858945470933,0.1410149932246361,0.13840390548191342,0.14326140785284755,0.12305516265912306,0.14579398198989676,0.15020712510356254,0.13340270551508845,0.19554887830714776,0.11895592640136927,0.13583843091562287,0.13456603508278553,0.14448483022279138,0.19200609888913092,0.12079299216228677,0.1227452705675319,0.10745098039215686,0.13708954993358663,0.11204379562043795,0.18266649622906814,0.16152838126767363,0.11228581844695588,0.12645210436107407,0.1177705223880597,0.16112026956033404,0.12023898431665422,0.15001472044536038,0.13086755507206962,0.1222378937470616,0.12401795735129069,0.12171199286669639,0.10518053375196232,0.14137735106863444,0.1227106227106227,0.1568196325980566,0.11448427212874908,0.11608961303462322,0.13996889580093314,0.15245247148288973,0.14522947246287787,0.14936941671045717,0.12860993453985367,0.1099644128113879,0.1313044720674382,0.23747778122311364,0.1237785016286645,0.11492014024152708,0.1558432594037024,0.13365236067673988
80,0.12421033073206986,0.10371376811594203,0.10815047021943573,0.12225093310364628,0.11794476840136428,0.10950413223140495,0.12538008669211362,0.11115399459668082,0.11208151382823872,0.1399429410115602,0.1292348686714884,0.11279503105590062,0.10982443033246171,0.11254789272030652,0.11153262518968134,0.13864796702958726,0.10990206746463548,0.1112102289622361,0.11119159724737414,0.12348555452003727,0.1350874813508748,0.10787530762920426,0.11719106247150023,0.1102876430877605,0.1101855357819008,0.12136552440290758,0.1232987106017192,0.10962732919254659,0.10954356846473029,0.11263940520446096,0.11889525092623779,0.1142406489409644,0.13052410718188573,0.1266399972878598,0.13052706048815,0.12211221122112212,0.1358664616736218,0.13206296603148301,0.1222684703433923,0.18199519577635745,0.11810012836970475,0.12282745897659968,0.12053995148873344,0.13516262076498617,0.17036048791113048,0.12171507607192254,0.11878574571051474,0.10509803921568628,0.12445556482253729,0.10875912408759124,0.16778729387702926,0.14444099593075385,0.10900473933649289,0.11654922871833936,0.11637126865671642,0.14530533867140089,0.11687826736370426,0.13695367074378395,0.11862931737829753,0.12082745651151858,0.11097081930415263,0.12037449843958983,0.10405920610002242,0.1304651874298868,0.11950549450549451,0.15263493864813107,0.11155815654718361,0.10930074677528853,0.1293263806300125,0.14249524714828898,0.1317797712740318,0.13508276405675249,0.11440551063192572,0.11209964412811388,0.11983854836405201,0.21548828901224162,0.12052117263843648,0.11102454226723803,0.14533837797728186,0.12101058819096425
96,0.09996283909327387,0.08627717391304347,0.09090909090909091,0.09859316681022108,0.09511497414457036,0.08884297520661157,0.10671540402406676,0.09378618294094944,0.08915574963609899,0.12012895991028875,0.10468214693566806,0.09540372670807454,0.096002988419873,0.09506704980842912,0.10015174506828528,0.11645752598880482,0.08922742110990206,0.08831400535236396,0.08982252806954003,0.1015843429636533,0.1198969211989692,0.08900738310090238,0.10214318285453716,0.08761373642500733,0.09655433547898523,0.09488577362409138,0.10351002865329513,0.09658385093167701,0.0908713692946058,0.09144981412639405,0.10138093634220276,0.09283461018476791,0.10888665471871312,0.10599382988100485,0.11354793066855323,0.09995285242809995,0.11344168679991215,0.10985915492957747,0.10249739854318418,0.16396492746980385,0.09499358151476252,0.09787357995921935,0.10289309944809646,0.1132224712329799,0.14893269440209106,0.0995850622406639,0.09678838539375274,0.08901960784313726,0.10360485589843388,0.09233576642335767,0.14283522945161703,0.12428443340920063,0.09004739336492891,0.09582301783787216,0.09771455223880597,0.12099418488795492,0.10119492158327109,0.11401654042769585,0.09534946967636661,0.09920075223319229,0.0920314253647587,0.09897458760588497,0.0847723704866562,0.11025801657949562,0.10256410256410256,0.12171075962834244,0.09107534747622531,0.09300746775288526,0.10669960052450218,0.12294201520912547,0.11333921997705063,0.11304519180241723,0.093697856501091,0.08718861209964412,0.1015502214602086,0.19017089351146205,0.10237319683573755,0.09232567199065056,0.12404819734509075,0.10026753080372282
112,0.09652545522110739,0.08038949275362318,0.08385579937304075,0.09244903818547229,0.09252943118054792,0.08305785123966943,0.10071488645920942,0.08259359320725589,0.08187772925764192,0.11235343590758423,0.10144651693947468,0.0884472049689441,0.08106088905491221,0.08955938697318008,0.0819423368740516,0.11013717167989173,0.08052230685527748,0.08831400535236396,0.08149221296631655,0.09366262814538677,0.1072833310728333,0.08162428219852338,0.09119927040583675,0.0835045494570003,0.08708822415751609,0.0926791277258567,0.09810768863419293,0.0906832298136646,0.08381742738589211,0.08252788104089219,0.0919501515661839,0.08494817485353763,0.10276697119377541,0.09994236702037496,0.09939865581888928,0.09665252239509665,0.10893916099275203,0.10140845070422536,0.10062434963579604,0.1556874029181839,0.09114249037227215,0.09782503155646179,0.09769044187436285,0.10723365788432927,0.13714332389457634,0.08990318118948824,0.09326880774307084,0.08274509803921569,0.0988169153306768,0.08321167883211679,0.1288508244918829,0.11180081384923098,0.08129784907036092,0.09261727924839713,0.08675373134328358,0.11615731599065235,0.08961911874533234,0.10783395337633488,0.09551264617895024,0.09590973201692525,0.08824354657687991,0.09139545251894783,0.07692307692307693,0.10335232156645639,0.09203296703296704,0.1144762039860983,0.0822970007315289,0.08214528173794976,0.10035678345988473,0.1141587452471483,0.10613447994915305,0.10788885969521808,0.0864245069096821,0.0807829181494662,0.09337048149735677,0.17906478056364725,0.09632387156817124,0.08297623685235683,0.1169428422283291,0.09561400203474132
128,0.0866778149386845,0.0661231884057971,0.06857366771159874,0.08222796439850703,0.08339751347783035,0.06900826446280992,0.0911237626965129,0.06908529525279815,0.06804949053857351,0.10152707003743465,0.08641035401598782,0.07726708074534161,0.07022786701531565,0.08093869731800767,0.07056145675265554,0.09991080765208833,0.07254261878853827,0.07850133809099019,0.07243752263672583,0.07595526561043803,0.08978706089787061,0.06890894175553733,0.0756953944368445,0.07154388024655121,0.07648617947747066,0.08294392523364486,0.08804918815663801,0.07267080745341616,0.07136929460580912,0.07546468401486989,0.07814078814415629,0.07413249211356467,0.09201381299995628,0.0894158728006238,0.08383445348425893,0.07637906647807638,0.09688117724577201,0.09088649544324773,0.08751300728407908,0.14726048908015243,0.07445442875481387,0.08631906010292262,0.08770696382746862,0.09593401005668657,0.12399259420605532,0.07238358690640849,0.07391113066432028,0.06588235294117648,0.08738763784635344,0.07372262773722628,0.11571008564489327,0.10285192082212566,0.07218374043018592,0.08150828413635498,0.07439365671641791,0.1025887212188185,0.07505601194921584,0.09570965928860102,0.08365515365787327,0.07569346497414198,0.07912457912457913,0.0753455193936692,0.06705539358600583,0.09306662393100133,0.07463369963369963,0.09504220157457975,0.07278712509144111,0.07433808553971487,0.09020217729393468,0.10312737642585551,0.09541908211014849,0.09465317919075145,0.07820990031232619,0.07259786476868327,0.08451207315330761,0.16632091993379133,0.07584923220102373,0.07051032333463186,0.1075035483634387,0.08589246015298241
256,0.05824972129319955,0.04868659420289855,0.04623824451410658,0.05460809646856159,0.052646055671691054,0.048760330578512395,0.05947143688943521,0.046700115785411035,0.04730713245997089,0.068924289648576,0.05272173582032737,0.05242236024844721,0.04594695554725439,0.05316091954022988,0.045144157814871015,0.06869348588300424,0.05005440696409141,0.05263157894736842,0.04925751539297356,0.05358807082945014,0.05750712057507121,0.0475799835931091,0.05107159142726858,0.0433665981802172,0.05187429004165089,0.055944963655244026,0.05841093600764088,0.04906832298136646,0.04937759336099585,0.050929368029739776,0.052206130010104414,0.04821991888237945,0.06228963587883027,0.061955453096925114,0.057658295012380616,0.05233380480905234,0.06477048100153744,0.05617232808616404,0.06024973985431842,0.1168495836622444,0.051347881899871634,0.055442275949121274,0.05831897915421661,0.06427616339290759,0.08454040514049227,0.051175656984785614,0.04927408710954685,0.04666666666666667,0.058505544744076855,0.049635036496350364,0.07580212194810175,0.06943582316021794,0.04885162231133795,0.054529296007109755,0.04967350746268657,0.06831397981920617,0.05003734129947722,0.06380643952573402,0.053848245852597225,0.051716031969910675,0.051206509539842876,0.04993312527864467,0.047768557972639604,0.0630545316802401,0.0521978021978022,0.06035889070146819,0.05084125822970007,0.05057705363204345,0.058183148842740826,0.06865494296577947,0.05969397984037811,0.06433920126116657,0.04950156163094169,0.04911032028469751,0.05865123589084155,0.12335515541133671,0.051186598417868774,0.04947409427347098,0.07634697601780868,0.05588002562266853
